"id","latlng","typeroute","adresse","commune","codepostal","hdebut","hfin","saufjour","services","carburants","activite"
"13170009","43.38952,5.34272","R","ROUTE DE MARTIGUES","Les Pennes-Mirabeau","13170","01:00","01:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Restauration à emporter|Vente de gaz domestique|GPL|Station de gonflage|Lavage multi-programmes|Piste poids lourds|Carburant qualité supérieure","E10|Gazole|SP98|GPLc","O"
"13130002","43.48942,5.17369","R","Boulevard Henri Wallon","Berre-l'Étang","13130","01:00","01:00",,"Automate CB|Vente de gaz domestique|Laverie","Gazole|SP98|SP95","O"
"13340001","43.4921589294,5.2288210582","R","LE PLAN","ROGNAC","13340","01:00","01:00",,"Vente de gaz domestique|Automate CB","Gazole|SP98|SP95","O"
"13124002","43.38414,5.5817","A","A52 Aire de Peypin","PEYPIN","13124","01:00","01:00",,"Automate CB|Toilettes publiques|Douches|Espace bébé / change|Boutique alimentaire|Boutique non alimentaire|GPL|Station de gonflage|Restauration à emporter","E10|Gazole|E85|SP98|GPLc","O"
"13410002","43.64862,5.25565","R","Avenue Jean Monnet","LAMBESC","13410","01:00","01:00","Dimanche","Vente de gaz domestique","Gazole|E85|SP98|SP95","O"
"13400008","43.29729,5.56383","R","Impasse du Petit Nice","AUBAGNE","13400","06:30","20:30",,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Station de gonflage","","N"
"13300006","43.6284603387,5.14192372838","R","34, Route de Salon- RN 572","PELISSANNE","13330","01:00","01:00",,"Automate CB|Carburant qualité supérieure|Station de lavage|Lavage haute-pression|Toilettes publiques|Boutique non alimentaire|Vente de gaz domestique|Vente de fioul domestique|Vente de pétrole lampant|Station de gonflage|Lavage multi-programmes|Baie de service auto|Piste poids lourds","Gazole|E85|SP98|SP95","O"
"13270008","43.45205,4.93969","R","215 Avenue Georges Pompidou","FOS-SUR-MER","13270","05:30","22:30",,"Boutique non alimentaire|Vente de gaz domestique|Vente de fioul domestique|Station de gonflage|Station de lavage|Lavage multi-programmes","E10|Gazole|SP98|SP95","O"
"13320009","43.443886231,5.43721527301","R","CD6","Bouc-Bel-Air","13320","01:00","01:00",,"Automate CB|Piste poids lourds|Station de gonflage","E10|Gazole|SP98","O"
"13180001","43.3914448153,5.26780227527","A","AIRE DE REBUTY  A55","GIGNAC-LA-NERTHE","13180","01:00","01:00",,"Toilettes publiques|Douches|Espace bébé / change|Bar|Boutique alimentaire|GPL|Carburant qualité supérieure|Station de gonflage","E10|Gazole|SP98|GPLc","O"
"13368001","43.29512,5.47977","R","Route de la Sablière","Marseille","13011","01:00","01:00",,"Automate CB|Vente de gaz domestique|Carburant qualité supérieure|GPL|Station de gonflage|Lavage multi-programmes|Lavage haute-pression","Gazole|SP98|GPLc|SP95","O"
"13150003","43.80147,4.66936","R","Route de Saint-Rémy","Tarascon","13150","01:00","01:00","Dimanche","Automate CB|Vente de gaz domestique|Station de lavage","E10|Gazole|E85|SP95","O"
"13150001","43.81072,4.6664","R","route d'avignon","TARASCON","13150","01:00","01:00",,"Automate CB|Vente de gaz domestique","E10|Gazole|SP98","O"
"13120003","43.45175,5.45423","R","Chemin de la Plaine","Gardanne","13120","01:00","01:00",,"Automate CB|Vente de gaz domestique|Vente de fioul domestique|Station de lavage|Station de gonflage","E10|Gazole|SP98|SP95","O"
"13370006","43.70837,5.20025","R","Avenue du Pont Royal","Mallemort","13370","01:00","01:00",,"Automate CB|Lavage multi-programmes|Piste poids lourds|Relais colis|Station de gonflage|Station de lavage|Vente de gaz domestique","E10|Gazole|SP98","O"
"13200010","43.69071,4.63752","R","99 Avenue de Stalingrad","ARLES","13200","07:00","22:00",,"Automate CB|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de gonflage|Lavage multi-programmes","E10|Gazole|SP98","O"
"13130005","43.48437,5.18104","R","Avenue Henri Wallon","BERRE-L'ÃTANG","13130","01:00","01:00","Dimanche","Automate CB|Toilettes publiques|Vente de gaz domestique|Vente de fioul domestique|Vente de pétrole lampant|Station de gonflage|Station de lavage|Lavage multi-programmes|Lavage haute-pression","Gazole|SP98|SP95","O"
"13127006","43.42575,5.26945","R","Rue Bel Air","VITROLLES","13127","01:00","01:00",,"Vente de gaz domestique|Automate CB|Carburant qualité supérieure|GPL|Station de lavage|Lavage multi-programmes|Lavage haute-pression|Piste poids lourds|Boutique alimentaire|Boutique non alimentaire|Toilettes publiques","E10|Gazole|GPLc|SP95","O"
"13127003","43.47222,5.23001","R","QUARTIER LES CADESTEAUX - RN113","Vitrolles","13127","06:00","20:00",,"Toilettes publiques|Boutique alimentaire|Boutique non alimentaire|Vente de gaz domestique|Carburant qualité supérieure|Station de lavage|Lavage multi-programmes|Station de gonflage","","N"
