station_id;station_name;station_number;address;address_precision;zip_code;city;geo_coordinates
230366;La Tour Maubourg - Invalides;25;1 place Salvador Allende;;75007;PARIS;48.858057003, 2.31000356376
230368;Place Rio de Janeiro;31;34 avenue de Messine;Angle place Rio de Janeiro;75008;PARIS;48.8771447364, 2.31135740876
230370;Notre Dame de Lorette;35;1 rue Flechier;;75009;PARIS;48.8766433101, 2.33933351934
230379;Denfert  Rochereau;58;2 place Denfert Rochereau;Face 297 boulevard Raspail, square Lamark;75014;PARIS;48.8348335002, 2.33218207955
230386;La Muette;72;11 chaussée de la Muette;Angle avenue Mozart;75016;PARIS;48.8581262673, 2.27406263351
230393;Porte d' Asnières;87;100 boulevard Berthier;Sur passage souterrain;75017;PARIS;48.8898767225, 2.30358101428
230408;Concorde - Rivoli;3;252 rue de Rivoli;;75001;PARIS;48.8662815797, 2.32429102063
230414;Saint Germain des Prés;15;151 boulevard Saint Germain;Brasserie Lipp;75006;PARIS;48.8537968433, 2.33272321522
230417;Alma - Branly;21;2 avenue Bosquet;Angle place de la Résistance;75007;PARIS;48.8618624273, 2.30195224285
230418;Ecole Militaire;23;28 avenue de Tourville;Angle place de l'Ecole Militaire;75007;PARIS;48.8541489291, 2.30635844171
230419;Gare des Invalides;24;4 rue Robert Esnault Pelterie;A coté de l'Aérorare de bus des Invalides;75007;PARIS;48.8621196117, 2.31509774923
230426;Philippe Auguste;42;97 avenue Philippe Auguste;Angle rue de Charonne;75011;PARIS;48.855821082, 2.3912845552
230430;Place d'Italie;52;213 boulevard Vincent Auriol;Angle place d'Italie;75013;PARIS;48.8312670319, 2.35672697425
230438;Mairie du 15ème;69;252 rue de Vaugirard;Angle rue du Général Beuret;75015;PARIS;48.8398698215, 2.30200655758
230469;Flandre - Riquet;103;69 avenue de Flandre;;75019;PARIS;48.8886999633, 2.3740580678
230471;Gobelins;10;92 boulevard Saint Marcel;Angle avenue des Gobelins;75005;PARIS;48.8368655674, 2.35187217593
230473;Bibliothèque Francois Mitterand;118;110 Avenue de France;;75013;PARIS;48.8304901437, 2.37708359957
230474;Hôtel de Ville;119;4 Rue de Lobau;;75004;PARIS;48.8567466984, 2.35376447439
230360;Panthéon;12;26 rue Soufflot;Angle boulevard Saint Michel;75005;PARIS;48.8473565019, 2.34084360301
230363;Rennes - Montparnasse;18;1 place du dix huit Juin 1940;Angle boulevard du Montparnasse, au pied de la Tour Montparnasse;75006;PARIS;48.843522614, 2.32368953526
230378;Patay - Tolbiac;55;119 rue de Patay;Angle rue de Tolbiac;75013;PARIS;48.8279351561, 2.37093195319
230380;Porte d'Orléans;59;1 place du vingt cinq Août 1944;;75014;PARIS;48.822611111, 2.32571393251
230384;Hôpital Georges Pompidou;67;32 rue Leblanc;Hôpital Georges Pompidou;75015;PARIS;48.8393411, 2.27505974472
230389;Place Victor Hugo;78;12 place Victor Hugo;Angle avenue Victor Hugo;75016;PARIS;48.869568562, 2.28490680456
230392;Pont Cardinet;86;167 rue de Rome;Angle rue Cardinet, gare SNCF;75017;PARIS;48.8873058051, 2.31437556446
230394;Porte de Champerret;88;1 boulevard Gouvion Saint Cyr;Angle avenue de la porte de Champerret;75017;PARIS;48.885453481, 2.29148894548
230399;Buttes Chaumont - Botzaris;100;1 rue du Général Brunet;Angle rue de Crimée;75019;PARIS;48.8797448401, 2.3896484077
230402;Porte de la Villette;108;3 avenue de la porte de la Villette;;75019;PARIS;48.8988128396, 2.3865263164
230403;Mairie du 20ème - Gambetta;109;18 avenue du Père Lachaise;Angle place Gambetta;75020;PARIS;48.8644994969, 2.39818453789
230423;Trinité - d'Estienne d'Orves;34;2 place d'Estienne d'Orves;;75009;PARIS;48.876374734, 2.33174353838
230431;Abbé Georges Hénocque;53;8 place de l'Abbé Georges Hénocque;;75013;PARIS;48.8236335835, 2.35312342644
230437;Convention - Vaugirard;65;304 rue de Vaugirard;Angle rue Ferdinand Fabre;75015;PARIS;48.8378506754, 2.29749508202
230439;Place Balard;70;3 place Balard;Angle avenue Félix Faure;75015;PARIS;48.836918972, 2.2789234668
230440;Porte de Saint Cloud;73;5 place de la Porte de Saint Cloud;Angle boulevard Murat;75016;PARIS;48.8374684629, 2.25752480328
230441;Henri Martin;74;78 avenue Henri Martin;;75016;PARIS;48.8643106983, 2.2726149112
230444;Trocadéro;81;1 avenue d'Eylau;Angle place du Trocadéro;75016;PARIS;48.8634443329, 2.28630691767
230450;Marx Dormoy - Ordener;95;76 rue Marx Dormoy;Angle rue de Riquet;75018;PARIS;48.8899790097, 2.36003682017
230456;Porte de Pantin;107;221 avenue Jean Jaurès;;75019;PARIS;48.8891756965, 2.39378705621
230458;Ménilmontant - Belleville;111;148 boulevard de Ménilmontant;Angle rue de Ménilmontant;75020;PARIS;48.8667897264, 2.38344177604
230461;République;39;10 place de la République;;75011;PARIS;48.8670142444, 2.36380934715
230475;République Temple;120;2-4 Rue du Faubourg du Temple;;75010;PARIS;48.8677292547, 2.36463144422
