Address;Cars;Bluecar counter;Utilib counter;Utilib 1.4 counter;Charge Slots;Charging Status;City;Displayed comment;ID;Kind;Geo point;Postal code;Public name;Rental status;Scheduled at;Slots;Station type;Status;Subscription status
11 rue Henri Say;0;0;0;0;0;nonexistent;Asnières-sur-Seine;;asnieressurseine-henrisay-11;STATION;48.9152642, 2.2767942;92600;Asnières-sur-Seine/Henri Say/11;operational;;5;station;ok;nonexistent
33 avenue du Général de Gaulle;0;0;0;0;0;nonexistent;Bagnolet;;bagnolet-generaldegaulle-33;SPACE;48.8649188, 2.4178739;93170;Bagnolet/De Gaulle/33;broken;;0;full_station;closed;broken
51 avenue Karl Marx;5;5;0;0;0;nonexistent;Villejuif;;villejuif-karlmarx-51;STATION;48.78447, 2.36088;94800;Villejuif/Karl Marx/51;operational;;1;station;ok;nonexistent
9 boulevard Bourdon;0;0;0;0;2;operational;Paris;;paris-bourdon-9;STATION;48.8484226, 2.366004;75004;Paris/Bourdon/9;operational;;5;station;ok;nonexistent
6 avenue des Ternes;0;0;0;0;1;operational;Paris;;paris-ternes-6;STATION;48.8782587, 2.2967633;75017;Paris/Ternes/6;operational;;4;station;ok;nonexistent
245 boulevard Jean Jaurès;5;5;1;0;0;nonexistent;Boulogne-Billancourt;;boulognebillancourt-jeanjaures-245;STATION;48.82851, 2.246519;92100;Boulogne-Billancourt/Jean Jaurès/245;operational;;0;station;ok;nonexistent
52 rue de Seine;3;3;0;0;0;nonexistent;Colombes;;colombes-seine-52;STATION;48.9201379, 2.2271027;92700;Colombes/Seine/52;operational;;1;station;ok;nonexistent
2 avenue de la Porte de Charenton;3;3;0;0;0;operational;Paris;;paris-portedecharenton-2;STATION;48.8311, 2.398697;75012;Paris/Porte de Charenton/2;operational;;0;station;ok;nonexistent
15 rue Joseph Bara;0;0;0;0;0;nonexistent;Paris;;paris-josephbara-15;STATION;48.84189, 2.333149;75006;Paris/Joseph Bara/15;operational;;3;station;ok;nonexistent
137 rue de la Bourcillière;0;0;0;0;0;nonexistent;Clamart;;clamart-bourcilliere-137;STATION;48.7813871, 2.2271271;92140;Clamart/Bourcillière/137;operational;;6;station;ok;nonexistent
76 avenue de Verdun;2;2;0;0;0;nonexistent;Châtillon;;chatillon-verdun-76;STATION;48.79988, 2.281576;92320;Châtillon/Verdun/76;operational;;4;station;ok;nonexistent
16 rue de l'Arrivée;4;4;0;0;1;operational;Paris;;paris-arrivee-16;STATION;48.843154, 2.321689;75015;Paris/Arrivée/16;operational;;1;station;ok;nonexistent
